,Player,Pos,Age,Team,Games,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,Total Reb Percentage,AST,STL,BLK,TOV,PF,PTS,Year,PER,True Shooting Percentage,3PAr,FTr,Offensive Rebound Percentage,Defensive Rebound Percentage,TRB%,Assist Percentage,Steal Percentage,Block Percentage,Turnover Percentage,Usage Percentage,Offensive Win Shares,Defensive Win Shares,Win Shares,Win Shares Per 48 Minutes, Offensive Box Plus/Minus,Defensive Box Plus/Minus,Box Plus/Minus,Value over Replacement Player,cluster
137,Wesley Matthews,SG,32,IND,23,23,31.5,3.5,9.1,0.386,2.1,5.7,0.369,1.4,3.5,0.413,0.5,1.8,2.1,0.8540000000000001,0.5,2.3,2.8,2.4,0.9,0.2,1.3,2.4,10.9,2019,10.3,0.546,0.5770000000000001,0.234,1.7,7.1,4.4,11.1,1.3,0.7,10.6,17.8,1.1,1.5,2.7,0.062,-1.4,-0.5,-1.8,0.1,Secondary floor general
138,Shelvin Mack,PG,28,TOT,57,3,21.9,2.9,7.1,0.40399999999999997,0.8,2.3,0.354,2.1,4.8,0.429,0.462,1.0,1.5,0.69,0.3,1.5,1.8,3.2,0.8,0.1,1.2,1.5,7.5,2019,10.4,0.489,0.32299999999999995,0.208,1.6,7.9,4.7,22.6,1.9,0.3,13.0,18.1,-0.2,1.1,0.9,0.034,-2.7,-0.4,-3.0,-0.3,Secondary floor general
139,Trey Lyles,PF,23,DEN,64,2,17.5,3.2,7.7,0.418,0.8,3.1,0.255,2.4,4.6,0.529,0.47,1.3,1.8,0.698,0.7,3.2,3.8,1.4,0.5,0.4,1.1,1.5,8.5,2019,12.7,0.5,0.404,0.234,4.2,19.6,11.9,11.3,1.3,1.8,11.1,23.4,-0.2,1.4,1.2,0.05,-1.8,-0.7,-2.4,-0.1,Secondary floor general
142,Jeremy Lin,PG,30,TOR,23,3,18.8,2.5,6.7,0.374,0.5,2.4,0.2,2.0,4.3,0.47,0.41,1.5,1.8,0.81,0.3,2.3,2.6,2.2,0.4,0.3,1.1,2.1,7.0,2019,13.5,0.5579999999999999,0.34600000000000003,0.388,1.6,11.7,6.6,23.4,1.5,0.8,16.4,21.8,1.2,0.9,2.1,0.07,-1.4,-0.9,-2.2,-0.1,Secondary floor general
155,Allonzo Trier,SG,23,NYK,64,3,22.8,3.6,8.1,0.44799999999999995,0.8,2.1,0.39399999999999996,2.8,6.0,0.466,0.498,2.8,3.5,0.8029999999999999,0.5,2.6,3.1,1.9,0.4,0.2,1.8,1.8,10.9,2019,12.2,0.564,0.255,0.431,2.2,12.2,7.1,12.9,0.9,0.8,15.8,21.5,0.4,0.5,0.9,0.03,-1.6,-1.5,-3.1,-0.4,Secondary floor general
158,Evan Turner,PG,30,POR,73,2,22.0,2.8,6.1,0.46,0.2,0.7,0.212,2.6,5.4,0.494,0.473,1.0,1.5,0.708,0.5,4.0,4.5,3.9,0.5,0.2,1.6,1.5,6.8,2019,11.6,0.504,0.117,0.239,2.5,18.9,10.9,23.6,1.0,0.9,18.9,15.9,0.5,1.5,2.0,0.06,-1.8,0.5,-1.3,0.3,Secondary floor general
160,Fred VanVleet,PG,24,TOR,64,28,27.5,3.8,9.4,0.41,1.8,4.6,0.37799999999999995,2.1,4.8,0.441,0.503,1.5,1.8,0.843,0.3,2.3,2.6,4.8,0.9,0.3,1.3,1.7,11.0,2019,13.7,0.539,0.493,0.192,1.3,8.7,5.1,23.9,1.6,0.9,11.2,17.9,2.4,1.9,4.3,0.117,0.4,0.1,0.5,1.1,Secondary floor general
164,Lance Stephenson,SG,28,LAL,68,3,16.5,2.7,6.4,0.426,1.1,2.9,0.371,1.6,3.5,0.47200000000000003,0.51,0.7,1.1,0.685,0.5,2.7,3.2,2.1,0.6,0.1,1.3,1.6,7.2,2019,11.8,0.529,0.456,0.16899999999999998,3.0,16.5,9.9,17.3,1.7,0.5,15.6,20.3,-0.1,1.2,1.1,0.049,-1.6,0.1,-1.5,0.1,Secondary floor general
168,Jeff Teague,PG,30,MIN,42,41,30.1,4.2,9.9,0.423,0.8,2.5,0.33299999999999996,3.4,7.4,0.45299999999999996,0.465,2.9,3.6,0.804,0.4,2.1,2.5,8.2,1.0,0.4,2.3,2.1,12.1,2019,15.4,0.528,0.252,0.368,1.3,7.7,4.5,37.6,1.6,1.2,16.7,19.3,1.7,0.5,2.2,0.085,0.8,-1.2,-0.4,0.5,Secondary floor general
172,Justise Winslow,SF,22,MIA,66,52,29.7,4.9,11.3,0.433,1.5,3.9,0.375,3.5,7.5,0.462,0.4970000000000001,1.3,2.1,0.628,1.0,4.4,5.4,4.3,1.1,0.3,2.2,2.7,12.6,2019,12.8,0.513,0.342,0.183,3.4,15.9,9.6,21.9,1.8,0.9,14.9,20.8,0.2,2.6,2.8,0.067,-1.3,0.7,-0.6,0.7,Secondary floor general
